Bezirk,Bezirkname,Prognoseraum,Bezirksregion,Planungsraum,Planungsraumname,total,0_6,6_15,15_18,18_27,27_45,45_55,55_65,65 _mehr,weiblich,männlich ,weiblich%,männlich%,Ausländer,6_18,0_18
8,Neukölln,2,6,24,Britzer Garten,1402,94,162,40,108,355,237,185,221,684,718,0.4879,0.5121,174,202,296
8,Neukölln,2,6,25,Handwerker-Siedlung,3287,110,242,90,348,615,496,478,908,1567,1720,0.4767,0.5233,519,332,442
8,Neukölln,2,7,26,Buckow West,8435,423,576,206,735,1761,1275,1254,2205,4371,4064,0.5182,0.4818,972,782,1205
8,Neukölln,2,7,27,Buckow Mitte,11930,601,960,326,1208,2277,1610,1637,3311,6198,5732,0.5195,0.4805,1789,1286,1887
8,Neukölln,2,7,28,Buckow Ost,8953,587,827,262,1024,2016,1168,1086,1983,4444,4509,0.4964,0.5036,2065,1089,1676
8,Neukölln,3,8,29,Gropiusstadt Nord,12479,817,1038,333,1237,2645,1439,1570,3400,6644,5835,0.5324,0.4676,2597,1371,2188
8,Neukölln,3,8,30,Gropiusstadt Süd,7316,378,447,124,548,1461,849,966,2543,3907,3409,0.534,0.466,1188,571,949
8,Neukölln,3,8,31,Gropiusstadt Ost,17522,1198,1481,493,1797,3929,2146,2224,4254,9143,8379,0.5218,0.4782,3667,1974,3172
8,Neukölln,4,9,32,Goldhähnchenweg,2848,196,256,80,201,531,303,358,923,1517,1331,0.5327,0.4673,390,336,532
8,Neukölln,4,9,33,Vogelviertel Süd,4173,184,217,83,406,804,604,597,1278,2153,2020,0.5159,0.4841,584,300,484
8,Neukölln,4,9,34,Vogelviertel Nord,2679,132,207,76,263,576,387,414,624,1372,1307,0.5121,0.4879,356,283,415
8,Neukölln,4,10,35,Blumenviertel,8297,465,632,282,769,1482,1291,1205,2171,4155,4142,0.5008,0.4992,1233,914,1379
8,Neukölln,4,10,36,Zittauer Straße,6840,310,518,173,616,1160,1030,1128,1905,3455,3385,0.5051,0.4949,664,691,1001
8,Neukölln,4,10,37,Alt-Rudow,9925,566,724,217,913,1865,1408,1535,2697,5082,4843,0.512,0.488,1247,941,1507
8,Neukölln,4,10,38,Waßmannsdorfer Chaussee,7054,391,572,191,600,1246,1044,1038,1972,3621,3433,0.5133,0.4867,530,763,1154
8,Neukölln,4,10,39,Frauenviertel,3819,273,302,117,403,948,617,490,669,2029,1790,0.5313,0.4687,376,419,692
8,Neukölln,4,10,40,Waltersdorfer Chaussee Ost,7940,513,651,265,751,1549,1138,1187,1886,4168,3772,0.5249,0.4751,806,916,1429
9,Treptow–Köpenick,1,1,1,Elsenstraße,12560,955,1042,226,919,5069,1843,1199,1307,6251,6309,0.4977,0.5023,2391,1268,2223
9,Treptow–Köpenick,1,1,2,Am Treptower Park Nord,75,3,9,3,6,27,18,6,3,36,39,0.48,0.52,15,12,15
9,Treptow–Köpenick,1,2,1,Am Treptower Park Süd,4372,333,380,85,274,1429,673,440,758,2250,2122,0.5146,0.4854,411,465,798
9,Treptow–Köpenick,1,2,2,Köpenicker Landstraße,6939,345,253,82,633,2129,831,888,1778,3593,3346,0.5178,0.4822,779,335,680
9,Treptow–Köpenick,1,3,1,Baumschulenstraße,15690,861,820,218,1272,5255,1797,1646,3821,8202,7488,0.5228,0.4772,1494,1038,1899
9,Treptow–Köpenick,1,3,2,Späthsfelde,3148,195,311,112,278,553,537,520,642,1579,1569,0.5016,0.4984,546,423,618
9,Treptow–Köpenick,1,4,1,Johannisthal West,8439,441,462,131,580,1927,1045,1057,2796,4478,3961,0.5306,0.4694,511,593,1034
9,Treptow–Köpenick,1,4,2,Johannisthal Ost,11401,710,940,332,974,3188,1761,1547,1949,5811,5590,0.5097,0.4903,823,1272,1982
9,Treptow–Köpenick,2,5,1,Oberschöneweide West,7534,580,521,152,1143,2971,795,647,725,3559,3975,0.4724,0.5276,1702,673,1253
9,Treptow–Köpenick,2,5,2,Oberschöneweide Ost,15752,1153,1122,303,2108,5469,1843,1604,2150,7785,7967,0.4942,0.5058,2298,1425,2578
9,Treptow–Köpenick,2,6,1,Schnellerstraße,8993,702,632,157,1211,3330,946,782,1233,4341,4652,0.4827,0.5173,2007,789,1491
9,Treptow–Köpenick,2,6,2,Oberspree,3569,157,262,73,224,739,461,543,1110,1826,1743,0.5116,0.4884,148,335,492
9,Treptow–Köpenick,2,7,1,Adlershof West,2772,268,127,18,610,1175,173,199,202,1303,1469,0.4701,0.5299,810,145,413
9,Treptow–Köpenick,2,7,2,Adlershof Ost,16813,1055,1145,326,1683,5064,2193,2053,3294,8438,8375,0.5019,0.4981,2005,1471,2526
9,Treptow–Köpenick,2,8,1,Spindlersfeld,2975,208,235,30,200,950,420,377,555,1525,1450,0.5126,0.4874,183,265,473
9,Treptow–Köpenick,2,8,2,Köllnische Vorstadt,7959,602,753,214,733,2445,944,937,1331,3970,3989,0.4988,0.5012,1105,967,1569
9,Treptow–Köpenick,3,9,1,Dorf Altglienicke,13611,887,1229,335,981,3146,2249,2156,2628,6898,6713,0.5068,0.4932,848,1564,2451
9,Treptow–Köpenick,3,9,2,Wohngebiet II,5623,389,555,171,514,1352,842,885,915,2911,2712,0.5177,0.4823,415,726,1115
9,Treptow–Köpenick,3,9,3,Kölner Viertel,8159,672,915,270,704,2054,1306,1092,1146,4060,4099,0.4976,0.5024,708,1185,1857
9,Treptow–Köpenick,3,10,1,Bohnsdorf,13134,704,1067,325,964,2831,2156,2146,2941,6612,6522,0.5034,0.4966,1087,1392,2096
9,Treptow–Köpenick,3,11,1,Grünau,6634,418,410,107,426,1673,953,908,1739,3406,3228,0.5134,0.4866,559,517,935
9,Treptow–Köpenick,3,12,1,Karolinenhof,1821,79,142,42,85,319,280,293,581,934,887,0.5129,0.4871,59,184,263
9,Treptow–Köpenick,3,12,2,Schmöckwitz/Rauchfangswerder,2573,159,193,64,172,500,453,412,620,1287,1286,0.5002,0.4998,139,257,416
9,Treptow–Köpenick,4,13,1,Kietzer Feld/Nachtheide,10088,394,576,145,527,1838,1448,1757,3403,5284,4804,0.5238,0.4762,277,721,1115
9,Treptow–Köpenick,4,13,2,Wendenschloß,1919,117,157,43,93,349,316,319,525,982,937,0.5117,0.4883,97,200,317
9,Treptow–Köpenick,4,14,1,Allende I,5481,264,284,91,272,1061,515,631,2363,3007,2474,0.5486,0.4514,205,375,639
9,Treptow–Köpenick,4,14,3,Allende II,4596,177,312,123,368,988,460,651,1517,2262,2334,0.4922,0.5078,517,435,612
9,Treptow–Köpenick,4,15,1,Altstadt Kietz,7136,530,695,207,655,2238,910,915,986,3605,3531,0.5052,0.4948,859,902,1432
9,Treptow–Köpenick,4,16,1,Müggelheim,6760,320,523,162,361,1268,1152,1265,1709,3351,3409,0.4957,0.5043,216,685,1005
9,Treptow–Köpenick,5,17,1,Hirschgarten,4090,249,239,70,302,960,537,527,1206,2117,1973,0.5176,0.4824,289,309,558
9,Treptow–Köpenick,5,17,2,Bölschestraße,15049,839,1188,377,724,3160,2259,2018,4484,8181,6868,0.5436,0.4564,623,1565,2404
9,Treptow–Köpenick,5,18,1,Rahnsdorf/Hessenwinkel,9495,474,792,245,471,1664,1559,1649,2641,4751,4744,0.5004,0.4996,497,1037,1511
9,Treptow–Köpenick,5,19,1,Dammvorstadt,11473,772,681,216,958,3700,1373,1373,2400,5904,5569,0.5146,0.4854,949,897,1669
9,Treptow–Köpenick,5,20,1,Köpenick Nord,12970,612,838,248,920,2788,1752,1855,3957,6905,6065,0.5324,0.4676,552,1086,1698
10,Marzahn–Hellersdorf,1,1,1,Marzahn West,5691,416,552,159,461,1675,681,1006,741,2884,2807,0.5068,0.4932,804,711,1127
10,Marzahn–Hellersdorf,1,1,2,Havemannstraße,18274,1285,1934,551,1702,4881,2056,3190,2675,9000,9274,0.4925,0.5075,2248,2485,3770
10,Marzahn–Hellersdorf,1,2,3,Gewerbegebiet Bitterfelder Straße,1168,91,90,25,243,431,143,93,52,295,873,0.2526,0.7474,667,115,206
10,Marzahn–Hellersdorf,1,2,4,Wuhletalstraße,10693,771,1044,309,846,2863,1020,1653,2187,5499,5194,0.5143,0.4857,1233,1353,2124
10,Marzahn–Hellersdorf,1,2,5,Marzahn Ost,8141,515,762,209,655,2409,870,1368,1353,4021,4120,0.4939,0.5061,720,971,1486
10,Marzahn–Hellersdorf,1,2,6,Ringkolonnaden,17291,981,1373,380,1453,4405,1651,2661,4387,8603,8688,0.4975,0.5025,2484,1753,2734
10,Marzahn–Hellersdorf,1,2,7,Marzahner Promenade,10636,581,864,274,864,2501,1036,1564,2952,5446,5190,0.512,0.488,1149,1138,1719
10,Marzahn–Hellersdorf,1,3,8,Marzahner Chaussee,2182,131,151,43,172,576,282,343,484,982,1200,0.45,0.55,341,194,325
10,Marzahn–Hellersdorf,1,3,9,Springpfuhl,14638,736,1060,291,1102,3620,1454,2026,4349,7561,7077,0.5165,0.4835,1471,1351,2087
10,Marzahn–Hellersdorf,1,3,10,Alt-Marzahn,18013,976,1396,382,1337,4217,1844,2649,5212,9097,8916,0.505,0.495,1921,1778,2754
10,Marzahn–Hellersdorf,1,3,11,Landsberger Tor,3688,276,291,73,193,993,391,512,959,2033,1655,0.5512,0.4488,180,364,640
10,Marzahn–Hellersdorf,2,4,12,Alte Hellersdorfer Straße,7186,703,945,237,724,2139,810,958,670,3669,3517,0.5106,0.4894,1240,1182,1885
10,Marzahn–Hellersdorf,2,4,13,Gut Hellersdorf,16195,1240,1430,355,1521,4852,1892,2656,2249,8260,7935,0.51,0.49,2453,1785,3025
10,Marzahn–Hellersdorf,2,4,14,Helle Mitte,1694,106,168,58,167,555,187,204,249,865,829,0.5106,0.4894,355,226,332
10,Marzahn–Hellersdorf,2,4,15,Hellersdorfer Promenade,5830,505,681,180,579,1684,708,827,666,2889,2941,0.4955,0.5045,1425,861,1366
10,Marzahn–Hellersdorf,2,4,16,Böhlener Straße,5642,447,619,163,655,1875,686,738,459,2719,2923,0.4819,0.5181,1084,782,1229
10,Marzahn–Hellersdorf,2,5,17,Adele-Sandrock-Straße,9124,555,718,147,677,2370,1320,1774,1563,4706,4418,0.5158,0.4842,840,865,1420
10,Marzahn–Hellersdorf,2,5,18,Schleipfuhl,5307,475,582,167,501,1519,708,795,560,2701,2606,0.509,0.491,719,749,1224
10,Marzahn–Hellersdorf,2,5,19,Boulevard Kastanienallee,6076,574,817,207,546,1928,626,771,607,2943,3133,0.4844,0.5156,1231,1024,1598
10,Marzahn–Hellersdorf,2,6,20,Kaulsdorf Nord II,3349,217,203,49,269,1066,420,629,496,1689,1660,0.5043,0.4957,269,252,469
10,Marzahn–Hellersdorf,2,6,21,Gelbes Viertel,6310,648,642,156,622,2018,700,906,618,3188,3122,0.5052,0.4948,807,798,1446
10,Marzahn–Hellersdorf,2,6,22,Kaulsdorf Nord I,8572,433,590,153,486,2261,839,1463,2347,4569,4003,0.533,0.467,536,743,1176
10,Marzahn–Hellersdorf,2,6,23,Rotes Viertel,6523,328,454,109,378,1369,810,1459,1616,3431,3092,0.526,0.474,359,563,891
10,Marzahn–Hellersdorf,3,7,24,Oberfeldstraße,7836,295,489,125,813,1520,1031,1416,2147,3975,3861,0.5073,0.4927,898,614,909
10,Marzahn–Hellersdorf,3,7,25,Buckower Ring,6487,356,457,155,556,1632,792,1075,1464,3215,3272,0.4956,0.5044,788,612,968
10,Marzahn–Hellersdorf,3,7,26,Alt-Biesdorf,3553,225,321,82,205,866,482,535,837,1825,1728,0.5137,0.4863,401,403,628
10,Marzahn–Hellersdorf,3,7,27,Biesdorf Süd,9847,559,867,226,481,1958,1586,1918,2252,4967,4880,0.5044,0.4956,392,1093,1652
10,Marzahn–Hellersdorf,4,8,28,Kaulsdorf Nord,7779,398,643,195,470,1630,1246,1670,1527,3925,3854,0.5046,0.4954,331,838,1236
10,Marzahn–Hellersdorf,4,8,29,Alt-Kaulsdorf,3960,234,285,102,327,854,627,648,883,1967,1993,0.4967,0.5033,267,387,621
10,Marzahn–Hellersdorf,4,8,30,Kaulsdorf Süd,7627,352,666,172,375,1431,1257,1521,1853,3833,3794,0.5026,0.4974,181,838,1190
10,Marzahn–Hellersdorf,4,9,31,Mahlsdorf Nord,9697,537,798,198,503,1987,1572,2012,2090,4865,4832,0.5017,0.4983,317,996,1533
10,Marzahn–Hellersdorf,4,9,32,Alt-Mahlsdorf,4288,259,307,108,286,959,604,814,951,2147,2141,0.5007,0.4993,208,415,674
10,Marzahn–Hellersdorf,4,9,33,Mahlsdorf Süd,15251,830,1277,384,800,2881,2615,3039,3425,7639,7612,0.5009,0.4991,438,1661,2491
11,Lichtenberg,1,1,1,Dorf Malchow,639,40,36,24,59,165,96,125,94,239,400,0.374,0.626,52,60,100
11,Lichtenberg,1,1,2,Dorf Wartenberg,2624,106,239,66,118,513,446,651,485,1300,1324,0.4954,0.5046,73,305,411
11,Lichtenberg,1,1,3,Dorf Falkenberg,1588,111,154,58,112,393,264,322,174,737,851,0.4641,0.5359,305,212,323
11,Lichtenberg,1,2,4,Falkenberg Ost,8934,718,943,248,746,2444,1129,1493,1213,4577,4357,0.5123,0.4877,1637,1191,1909
11,Lichtenberg,1,2,5,Falkenberg West,7020,483,737,203,508,1959,865,1246,1019,3497,3523,0.4981,0.5019,1362,940,1423
11,Lichtenberg,1,2,6,Wartenberg Süd,6109,408,538,165,489,1461,686,1224,1138,3193,2916,0.5227,0.4773,1002,703,1111
11,Lichtenberg,1,2,7,Wartenberg Nord,7501,648,690,212,683,2091,805,1175,1197,3902,3599,0.5202,0.4798,1316,902,1550
11,Lichtenberg,1,3,8,Zingster Straße Ost,11762,768,1047,258,858,2789,1188,2416,2438,6002,5760,0.5103,0.4897,1951,1305,2073
11,Lichtenberg,1,3,9,Zingster Straße West,9717,658,956,258,846,2505,1218,1657,1619,4801,4916,0.4941,0.5059,1627,1214,1872
11,Lichtenberg,1,3,10,Mühlengrund,5736,324,413,111,428,1459,492,1146,1363,2864,2872,0.4993,0.5007,735,524,848
11,Lichtenberg,2,4,11,Malchower Weg,9464,795,915,247,801,2327,1203,1427,1749,4714,4750,0.4981,0.5019,1886,1162,1957
11,Lichtenberg,2,4,12,Hauptstraße,6823,405,567,153,580,1766,752,924,1676,3473,3350,0.509,0.491,912,720,1125
11,Lichtenberg,2,5,13,Orankesee,3978,291,475,134,230,911,539,539,859,2052,1926,0.5158,0.4842,630,609,900
11,Lichtenberg,2,5,14,Große-Leege-Straße,9637,734,700,220,868,3305,1304,1074,1432,4856,4781,0.5039,0.4961,1800,920,1654
11,Lichtenberg,2,5,15,Landsberger Allee,14752,923,1187,348,1289,3751,1787,1756,3711,7626,7126,0.5169,0.4831,2339,1535,2458
11,Lichtenberg,2,5,16,Weiße Taube,4074,307,262,98,238,1194,518,663,794,2068,2006,0.5076,0.4924,340,360,667
11,Lichtenberg,3,6,17,Hohenschönhausener Straße,6327,343,444,112,672,1738,630,577,1811,3189,3138,0.504,0.496,1448,556,899
11,Lichtenberg,3,6,18,Fennpfuhl West,16313,803,929,284,1736,4455,1719,1808,4579,8315,7998,0.5097,0.4903,2727,1213,2016
11,Lichtenberg,3,6,19,Fennpfuhl Ost,11050,689,789,219,1047,3186,1244,1164,2712,5615,5435,0.5081,0.4919,2118,1008,1697
11,Lichtenberg,3,7,20,Herzbergstraße,6187,314,252,66,1330,2385,677,574,589,2528,3659,0.4086,0.5914,3225,318,632
11,Lichtenberg,3,7,21,Rüdigerstraße,24862,1726,1682,443,2468,9592,2910,2486,3555,12289,12573,0.4943,0.5057,4419,2125,3851
11,Lichtenberg,3,8,24,Frankfurter Allee Süd,10063,560,699,207,1254,2857,1110,1150,2226,5052,5011,0.502,0.498,2248,906,1466
11,Lichtenberg,4,9,25,Victoriastadt,4183,405,379,121,347,1947,608,261,115,1991,2192,0.476,0.524,637,500,905
11,Lichtenberg,4,9,26,Weitlingstraße,29331,1986,1837,436,2884,12103,3156,2835,4094,14535,14796,0.4956,0.5044,4448,2273,4259
11,Lichtenberg,4,10,22,Rosenfelder Ring,5488,236,281,85,689,1764,545,562,1326,2588,2900,0.4716,0.5284,1364,366,602
11,Lichtenberg,4,10,23,Gensinger Straße,6748,508,574,132,707,2169,635,692,1331,3428,3320,0.508,0.492,1358,706,1214
11,Lichtenberg,4,10,27,Tierpark,3099,194,206,55,338,883,288,376,759,1548,1551,0.4995,0.5005,574,261,455
11,Lichtenberg,4,11,28,Sewanstraße,25716,1355,1461,445,2481,6374,2587,2939,8074,13544,12172,0.5267,0.4733,3787,1906,3261
11,Lichtenberg,5,12,29,Rummelsburg,4174,449,494,94,279,1466,587,357,448,2097,2077,0.5024,0.4976,501,588,1037
11,Lichtenberg,5,13,30,Karlshorst West,9909,857,755,142,1198,3396,1204,1045,1312,4937,4972,0.4982,0.5018,1366,897,1754
11,Lichtenberg,5,13,31,Karlshorst Nord,10604,757,977,264,644,2806,1589,1432,2135,5569,5035,0.5252,0.4748,667,1241,1998
11,Lichtenberg,5,13,32,Karlshorst Süd,7040,554,944,200,421,1975,1175,821,950,3586,3454,0.5094,0.4906,469,1144,1698
12,Reinickendorf,10,31,15,Breitkopfbecken,7714,425,508,156,956,2156,1061,1017,1435,3876,3838,0.5025,0.4975,1871,664,1089
12,Reinickendorf,10,31,16,Hausotterplatz,9987,687,878,289,1209,2925,1378,1175,1446,4893,5094,0.4899,0.5101,2908,1167,1854
12,Reinickendorf,10,31,17,Letteplatz,10916,781,872,256,1381,3347,1390,1321,1568,5324,5592,0.4877,0.5123,3529,1128,1909
12,Reinickendorf,10,32,18,Teichstraße,13910,894,978,338,1694,3689,1847,1803,2667,7000,6910,0.5032,0.4968,3413,1316,2210
12,Reinickendorf,10,32,19,Schäfersee,8829,505,592,187,1015,2405,1065,1107,1953,4542,4287,0.5144,0.4856,2173,779,1284
12,Reinickendorf,10,32,20,Humboldtstraße,4643,244,253,58,452,1188,687,704,1057,2362,2281,0.5087,0.4913,733,311,555
12,Reinickendorf,21,41,25,Waldidyll/Flughafensee,7760,422,585,162,734,1928,1191,1091,1647,3477,4283,0.4481,0.5519,1370,747,1169
12,Reinickendorf,21,41,26,Tegel Süd,8117,492,618,224,803,1950,1113,1100,1817,4208,3909,0.5184,0.4816,1649,842,1334
12,Reinickendorf,21,44,21,Reinickes Hof,2754,165,181,55,243,767,418,399,526,1374,1380,0.4989,0.5011,635,236,401
12,Reinickendorf,21,44,22,Klixstraße,8229,620,838,264,1037,2138,1070,925,1337,4106,4123,0.499,0.501,2770,1102,1722
12,Reinickendorf,21,44,23,Mellerbogen,5609,296,350,128,546,1289,723,784,1493,2876,2733,0.5127,0.4873,1187,478,774
12,Reinickendorf,21,44,24,Scharnweberstraße,10856,692,896,262,1260,3091,1484,1399,1772,5265,5591,0.485,0.515,3438,1158,1850
12,Reinickendorf,21,45,27,Alt-Tegel,10938,528,535,184,891,2477,1468,1463,3392,5888,5050,0.5383,0.4617,1421,719,1247
12,Reinickendorf,21,45,28,Tegeler Forst,240,10,3,19,83,66,18,19,22,104,136,0.4333,0.5667,67,22,32
12,Reinickendorf,22,42,29,Konradshöhe/Tegelort,6029,281,487,187,403,887,908,1018,1858,3102,2927,0.5145,0.4855,324,674,955
12,Reinickendorf,22,42,30,Heiligensee,18085,948,1474,519,1242,2898,2800,3071,5133,9203,8882,0.5089,0.4911,976,1993,2941
12,Reinickendorf,23,11,1,Hermsdorf,16598,826,1337,464,1203,2571,2479,2596,5122,8634,7964,0.5202,0.4798,1128,1801,2627
12,Reinickendorf,23,11,2,Frohnau,16757,829,1548,545,1132,2389,2563,2532,5219,8699,8058,0.5191,0.4809,908,2093,2922
12,Reinickendorf,30,12,3,Wittenau Süd,14800,731,904,310,1423,3317,2070,2068,3977,7290,7510,0.4926,0.5074,2588,1214,1945
12,Reinickendorf,30,12,4,Wittenau Nord,6216,286,445,192,571,1030,948,1042,1702,3208,3008,0.5161,0.4839,644,637,923
12,Reinickendorf,30,12,5,Waidmannslust,4982,265,402,142,403,989,764,711,1306,2574,2408,0.5167,0.4833,415,544,809
12,Reinickendorf,30,12,6,Lübars,5174,263,481,158,369,886,817,858,1342,2630,2544,0.5083,0.4917,303,639,902
12,Reinickendorf,30,21,7,Schorfheidestraße,3082,155,216,97,336,591,415,421,851,1567,1515,0.5084,0.4916,561,313,468
12,Reinickendorf,30,21,8,Märkisches Zentrum,14888,1120,1658,572,1530,3112,1775,1617,3504,7783,7105,0.5228,0.4772,3282,2230,3350
12,Reinickendorf,30,21,9,Treuenbrietzener Straße,11713,973,1496,426,1171,2840,1337,1205,2265,5997,5716,0.512,0.488,3012,1922,2895
12,Reinickendorf,30,21,10,Dannenwalder Weg,10575,846,1467,441,1198,2459,1292,1081,1791,5427,5148,0.5132,0.4868,3065,1908,2754
12,Reinickendorf,30,22,11,Lübarser Straße,3313,126,170,57,299,586,462,540,1073,1675,1638,0.5056,0.4944,420,227,353
12,Reinickendorf,30,22,12,Rollbergesiedlung,5976,539,791,226,658,1308,772,626,1056,3011,2965,0.5038,0.4962,1813,1017,1556
12,Reinickendorf,30,43,13,Borsigwalde,6803,343,408,150,701,1776,1015,997,1413,3366,3437,0.4948,0.5052,1123,558,901
12,Reinickendorf,30,43,14,Ziekowstraße/Freie Scholle,9732,449,560,208,834,1999,1412,1451,2819,5207,4525,0.535,0.465,714,768,1217
