Bezirk,Bezirkname,Prognoseraum,Bezirksregion,Planungsraum,Planungsraumname,total,0_6,6_15,15_18,18_27,27_45,45_55,55_65,65 _mehr,weiblich,männlich ,weiblich%,männlich%,Ausländer,6_18,0_18
7,Tempelhof–Schöneberg,5,5,4,Imbrosweg,5644,309,397,133,564,1245,778,816,1402,2923,2721,0.5179,0.4821,845,530,839
7,Tempelhof–Schöneberg,5,5,5,Hundsteinweg,10689,541,751,267,952,2055,1433,1377,3313,5646,5043,0.5282,0.4718,1450,1018,1559
7,Tempelhof–Schöneberg,5,5,6,Birnhornweg,2278,98,183,59,199,414,350,339,636,1133,1145,0.4974,0.5026,230,242,340
7,Tempelhof–Schöneberg,6,6,1,Marienfelder Allee Nordwest,10259,699,960,332,1054,2289,1362,1209,2354,5171,5088,0.504,0.496,2394,1292,1991
7,Tempelhof–Schöneberg,6,6,2,Kirchstraße,4757,213,405,132,400,909,778,680,1240,2355,2402,0.4951,0.5049,506,537,750
7,Tempelhof–Schöneberg,6,6,3,Marienfelde Nordost,2878,168,260,93,223,531,327,387,889,1495,1383,0.5195,0.4805,502,353,521
7,Tempelhof–Schöneberg,6,6,4,Marienfelde Süd,14560,866,1154,376,1281,3191,1690,1923,4079,7686,6874,0.5279,0.4721,2221,1530,2396
7,Tempelhof–Schöneberg,7,7,1,Kettinger Straße/Schillerstraße,10512,543,792,299,887,1959,1560,1528,2944,5473,5039,0.5206,0.4794,1041,1091,1634
7,Tempelhof–Schöneberg,7,7,2,Alt-Lichtenrade/Töpchiner Weg,10978,647,906,296,848,2136,1659,1607,2879,5679,5299,0.5173,0.4827,934,1202,1849
7,Tempelhof–Schöneberg,7,7,3,John-Locke-Straße,7780,384,571,189,678,1459,1088,1037,2374,4118,3662,0.5293,0.4707,925,760,1144
7,Tempelhof–Schöneberg,7,7,4,Nahariyastraße,8572,578,923,318,873,1749,1074,1037,2020,4411,4161,0.5146,0.4854,1935,1241,1819
7,Tempelhof–Schöneberg,7,7,5,Franziusweg/Rohrbachstraße,7023,371,535,232,615,1277,1135,1096,1762,3592,3431,0.5115,0.4885,556,767,1138
7,Tempelhof–Schöneberg,7,7,6,Horstwalder Straße/Paplitzer Straße,3900,230,343,105,307,736,496,554,1129,2052,1848,0.5262,0.4738,486,448,678
7,Tempelhof–Schöneberg,7,7,7,Wittelsbacherstraße,2985,194,253,56,219,479,453,439,892,1545,1440,0.5176,0.4824,257,309,503
8,Neukölln,1,1,15,Hasenheide,899,68,67,15,65,298,134,136,116,416,483,0.4627,0.5373,253,82,150
8,Neukölln,1,1,16,Wissmannstraße,3668,192,224,79,391,1515,501,440,326,1718,1950,0.4684,0.5316,1426,303,495
8,Neukölln,1,1,17,Schillerpromenade,16010,957,975,254,1536,7472,1865,1535,1416,7664,8346,0.4787,0.5213,5424,1229,2186
8,Neukölln,1,1,18,Silbersteinstraße,11796,751,990,305,1392,4700,1366,1009,1283,5732,6064,0.4859,0.5141,4362,1295,2046
8,Neukölln,1,2,11,Flughafenstraße,9910,557,657,200,1072,4428,1146,950,900,4796,5114,0.484,0.516,3839,857,1414
8,Neukölln,1,2,12,Rollberg,7434,476,791,267,825,2324,946,771,1034,3676,3758,0.4945,0.5055,2523,1058,1534
8,Neukölln,1,2,13,Körnerpark,12276,777,851,253,1414,5264,1469,1074,1174,5976,6300,0.4868,0.5132,4246,1104,1881
8,Neukölln,1,2,14,Glasower Straße,8378,443,630,250,1163,3095,1033,822,942,3993,4385,0.4766,0.5234,3246,880,1323
8,Neukölln,1,3,1,Reuterkiez,27496,1696,1719,424,2402,12495,3657,2672,2431,13732,13764,0.4994,0.5006,8608,2143,3839
8,Neukölln,1,3,2,Bouchéstraße,3797,194,227,75,358,1213,562,537,631,1901,1896,0.5007,0.4993,847,302,496
8,Neukölln,1,3,3,Donaustraße,8388,491,598,141,933,3893,953,709,670,3993,4395,0.476,0.524,3365,739,1230
